adm0_name,mkt_name,cm_name,mp_price,date,um_name,Gradient
Costa Rica,National Average,Beans (black),11837.832493128792,2007-10,KG,7.588468350117182
Costa Rica,National Average,Beans (black),11738.831112272452,2007-11,KG,-99.00138085633989
Costa Rica,National Average,Beans (black),11406.901588284229,2007-12,KG,-331.9295239882231
Costa Rica,National Average,Beans (black),11952.445941582693,2008-1,KG,545.5443532984646
Costa Rica,National Average,Beans (black),11016.744436029609,2008-2,KG,-935.7015055530846
Costa Rica,National Average,Beans (black),9527.32895037578,2008-3,KG,-1489.415485653828
Costa Rica,National Average,Beans (black),9502.179755608384,2008-4,KG,-25.149194767396693
Costa Rica,National Average,Beans (black),10331.450701656795,2008-5,KG,829.2709460484111
Costa Rica,National Average,Beans (black),10767.837016943971,2008-6,KG,436.38631528717633
Costa Rica,National Average,Beans (black),9063.130161514291,2008-7,KG,-1704.7068554296802
Costa Rica,National Average,Beans (black),7714.213910812176,2008-8,KG,-1348.9162507021147
Costa Rica,National Average,Beans (black),6625.0965630499295,2008-9,KG,-1089.117347762247
Costa Rica,National Average,Beans (black),7982.1839024971105,2008-10,KG,1357.087339447181
Costa Rica,National Average,Beans (black),7274.043898547664,2008-11,KG,-708.1400039494465
Costa Rica,National Average,Beans (black),7481.392262260269,2008-12,KG,207.34836371260462
Costa Rica,National Average,Beans (black),6635.8843745663235,2009-1,KG,-845.5078876939451
Costa Rica,National Average,Beans (black),7215.676040335178,2009-2,KG,579.7916657688547
Costa Rica,National Average,Beans (black),6302.24834087949,2009-3,KG,-913.4276994556885
Costa Rica,National Average,Beans (black),6824.973145569401,2009-4,KG,522.7248046899113
Costa Rica,National Average,Beans (black),7722.605713417124,2009-5,KG,897.6325678477233
Costa Rica,National Average,Beans (black),7569.2893892591455,2009-6,KG,-153.31632415797867
Costa Rica,National Average,Beans (black),7754.319592103444,2009-7,KG,185.0302028442984
Costa Rica,National Average,Beans (black),7742.804782333712,2009-8,KG,-11.514809769731983
Costa Rica,National Average,Beans (black),7695.785990750542,2009-9,KG,-47.01879158317024
Costa Rica,National Average,Beans (black),7697.134091683816,2009-10,KG,1.3481009332745089
Costa Rica,National Average,Beans (black),7381.703653366791,2009-11,KG,-315.4304383170256
Costa Rica,National Average,Beans (black),7361.015409227425,2009-12,KG,-20.68824413936545
Costa Rica,National Average,Beans (black),8217.842478536768,2010-1,KG,856.8270693093427
Costa Rica,National Average,Beans (black),7937.198836370871,2010-2,KG,-280.6436421658973
Costa Rica,National Average,Beans (black),7620.136802693564,2010-3,KG,-317.0620336773063
Costa Rica,National Average,Beans (black),7522.998111745766,2010-4,KG,-97.13869094779784
Costa Rica,National Average,Beans (black),7583.425683420341,2010-5,KG,60.42757167457421
Costa Rica,National Average,Beans (black),7996.122499459892,2010-6,KG,412.6968160395518
Costa Rica,National Average,Beans (black),7949.181210644107,2010-7,KG,-46.94128881578581
Costa Rica,National Average,Beans (black),7601.193899066239,2010-8,KG,-347.98731157786733
Costa Rica,National Average,Beans (black),7479.044813185656,2010-9,KG,-122.1490858805837
Costa Rica,National Average,Beans (black),7843.419666522317,2010-10,KG,364.37485333666154
Costa Rica,National Average,Beans (black),7580.949440737135,2010-11,KG,-262.47022578518227
Costa Rica,National Average,Beans (black),9940.225752584516,2010-12,KG,2359.2763118473813
Costa Rica,National Average,Beans (black),11769.90594786574,2011-1,KG,1829.6801952812239
Costa Rica,National Average,Beans (black),11732.985358243495,2011-2,KG,-36.920589622244734
Costa Rica,National Average,Beans (black),8863.914673006753,2011-3,KG,-2869.070685236742
Costa Rica,National Average,Beans (black),8782.394011372633,2011-4,KG,-81.52066163412019
Costa Rica,National Average,Beans (black),8466.552698645,2011-5,KG,-315.8413127276326
Costa Rica,National Average,Beans (black),8975.682796993286,2011-6,KG,509.1300983482852
Costa Rica,National Average,Beans (black),9078.469145489351,2011-7,KG,102.78634849606533
Costa Rica,National Average,Beans (black),9660.466529045789,2011-8,KG,581.9973835564379
Costa Rica,National Average,Beans (black),9756.474109558918,2011-9,KG,96.00758051312914
Costa Rica,National Average,Beans (black),9595.173787405864,2011-10,KG,-161.30032215305437
Costa Rica,National Average,Beans (black),10119.251923533648,2011-11,KG,524.0781361277841
Costa Rica,National Average,Beans (black),9673.468008046666,2011-12,KG,-445.78391548698164
Costa Rica,National Average,Beans (black),10183.024748597818,2012-1,KG,509.55674055115196
Costa Rica,National Average,Beans (black),10281.211676098612,2012-2,KG,98.1869275007939
Costa Rica,National Average,Beans (black),10021.33301201745,2012-3,KG,-259.87866408116133
Costa Rica,National Average,Beans (black),9900.130764719785,2012-4,KG,-121.20224729766596
Costa Rica,National Average,Beans (black),9839.620855719177,2012-5,KG,-60.50990900060788
Costa Rica,National Average,Beans (black),9630.627289307116,2012-6,KG,-208.99356641206032
Costa Rica,National Average,Beans (black),9532.89274074034,2012-7,KG,-97.73454856677563
Costa Rica,National Average,Beans (black),9082.556766991554,2012-8,KG,-450.3359737487863
Costa Rica,National Average,Beans (black),9499.99529661558,2012-9,KG,417.43852962402525
Costa Rica,National Average,Beans (black),9762.070239274752,2012-10,KG,262.07494265917194
Costa Rica,National Average,Beans (black),9940.367279178283,2012-11,KG,178.29703990353119
Costa Rica,National Average,Beans (black),9374.770748655656,2012-12,KG,-565.5965305226273
Costa Rica,National Average,Beans (black),10115.293092024971,2013-1,KG,740.5223433693154
Costa Rica,National Average,Beans (black),9957.289651775278,2013-2,KG,-158.00344024969309
Costa Rica,National Average,Beans (black),9129.071911880408,2013-3,KG,-828.2177398948697
