base_currency,datetime,rate
AFN,1999-3,0.000212
AFN,1999-2,0.000211
AFN,1999-1,0.000211
AFN,1998-12,0.000211
AFN,1998-11,0.000211
AFN,1998-10,0.000211
AFN,1998-9,0.000211
AFN,1998-8,0.000211
AFN,1998-7,0.000211
AFN,1998-6,0.000211
AFN,1998-5,0.000211
AFN,1998-4,0.000211
AFN,1998-3,0.000211
AFN,1998-2,0.000211
AFN,1998-1,0.000211
AFN,1997-12,0.000211
AFN,1997-11,0.000211
AFN,1997-10,0.000211
AFN,1997-9,0.000211
AFN,1997-8,0.000211
AFN,1997-7,0.000211
AFN,1997-6,0.000211
AFN,1997-5,0.000211
AFN,1997-4,0.000211
AFN,1997-3,0.000211
AFN,1997-2,0.000211
AFN,1997-1,0.000211
AFN,1996-12,0.000211
AFN,1996-11,0.000211
AFN,1996-10,0.000211
AFN,1996-9,0.000211
AFN,1996-8,0.000211
AFN,1996-7,0.000211
AFN,1996-6,0.000211
AFN,1996-5,0.000211
AFN,1996-4,0.000211
AFN,1996-3,0.000211
AFN,1996-2,0.000211
AFN,1996-1,0.000211
AFN,1995-12,0.000215
AFN,1995-11,0.000225
AFN,1995-10,0.000277
AFN,1995-9,0.00028900000000000003
AFN,1995-8,0.00028900000000000003
AFN,1995-7,0.00028900000000000003
AFN,1995-6,0.00028900000000000003
AMD,2017-12,0.00207
AMD,2017-11,0.002066
AMD,2017-10,0.002084
AMD,2017-9,0.002092
AMD,2017-8,0.002094
AMD,2017-7,0.002094
AMD,2017-6,0.002081
AMD,2017-5,0.002072
AMD,2017-4,0.002066
AMD,2017-3,0.00207
AMD,2017-2,0.002058
AMD,2017-1,0.00206
AMD,2016-12,0.002071
AMD,2016-11,0.00209
AMD,2016-10,0.002104
AMD,2016-9,0.002109
AMD,2016-8,0.0021030000000000003
AMD,2016-7,0.002098
AMD,2016-6,0.002094
AMD,2016-5,0.00209
AMD,2016-4,0.002078
AMD,2016-3,0.002055
AMD,2016-2,0.002024
AMD,2016-1,0.00206
AMD,2015-12,0.00207
AMD,2015-11,0.002084
AMD,2015-10,0.002116
AMD,2015-9,0.002074
AMD,2015-8,0.00209
AMD,2015-7,0.002098
AMD,2015-6,0.002102
AMD,2015-5,0.002089
AMD,2015-4,0.002112
AMD,2015-3,0.002092
AMD,2015-2,0.00209
AMD,2015-1,0.002104
AMD,2014-12,0.002174
AMD,2014-11,0.002391
AMD,2014-10,0.002448
AMD,2014-9,0.002445
AMD,2014-8,0.002443
AMD,2014-7,0.002456
AMD,2014-6,0.002434
AMD,2014-5,0.00242
AMD,2014-4,0.002413
AMD,2014-3,0.002416
AMD,2014-2,0.00243
AMD,2014-1,0.002468
AMD,2013-12,0.002468
AMD,2013-11,0.002465
AMD,2013-10,0.002462
AMD,2013-9,0.002447
AMD,2013-8,0.0024530000000000003
AMD,2013-7,0.002436
AMD,2013-6,0.002405
AMD,2013-5,0.002409
AMD,2013-4,0.0024
AMD,2013-3,0.002418
AMD,2013-2,0.002458
AMD,2013-1,0.002477
AMD,2012-12,0.002465
AMD,2012-11,0.002456
AMD,2012-10,0.00246
AMD,2012-9,0.002448
AMD,2012-8,0.002434
AMD,2012-7,0.00242
AMD,2012-6,0.002414
AMD,2012-5,0.002515
AMD,2012-4,0.0025510000000000003
AMD,2012-3,0.00257
AMD,2012-2,0.002572
AMD,2012-1,0.00259
AMD,2011-12,0.0026100000000000003
AMD,2011-11,0.002612
AMD,2011-10,0.002658
AMD,2011-9,0.002686
AMD,2011-8,0.002725
AMD,2011-7,0.002724
AMD,2011-6,0.002668
AMD,2011-5,0.002672
AMD,2011-4,0.002676
AMD,2011-3,0.00272
AMD,2011-2,0.00274
AMD,2011-1,0.002744
AMD,2010-12,0.002774
AMD,2010-11,0.0027670000000000004
AMD,2010-10,0.0027760000000000003
AMD,2010-9,0.002752
AMD,2010-8,0.002729
AMD,2010-7,0.002727
AMD,2010-6,0.0026780000000000003
AMD,2010-5,0.002598
AMD,2010-4,0.002532
AMD,2010-3,0.002537
AMD,2010-2,0.002628
AMD,2010-1,0.002648
AMD,2009-12,0.002628
AMD,2009-11,0.002583
AMD,2009-10,0.002594
AMD,2009-9,0.002631
AMD,2009-8,0.002682
AMD,2009-7,0.002739
AMD,2009-6,0.002728
AMD,2009-5,0.0026850000000000003
AMD,2009-4,0.002684
AMD,2009-3,0.002734
AMD,2009-2,0.003274
AMD,2009-1,0.003271
AMD,2008-12,0.003247
AMD,2008-11,0.0032770000000000004
AMD,2008-10,0.0032630000000000003
AMD,2008-9,0.00331
AMD,2008-8,0.0033130000000000004
AMD,2008-7,0.003308
AMD,2008-6,0.003274
AMD,2008-5,0.003253
AMD,2008-4,0.003235
AMD,2008-3,0.0032409999999999995
AMD,2008-2,0.003239
AMD,2008-1,0.0032630000000000003
