country,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Brazil,6979.382,7377.526,7849.817,8224.162,8303.725,8605.786,8603.742,8651.834,9108.014,9312.944,9613.91,9788.955,10504.994,11054.722,11707.587,12604.691,13360.29,13304.91,14337.934,15070.186,15499.145,16078.613,16309.052,15769.496,15294.734,15602.535,16199.24
Brunei Darussalam,60566.061,60761.144,62278.117,64990.038,66418.222,64970.26,63661.385,65053.569,66767.381,68467.876,69828.248,72156.327,72422.178,72933.42,75847.473,76560.012,79577.632,77667.201,79302.823,82567.707,83659.612,82052.74,80221.211,79637.805,77422.263,78196.049,79726.268
Bulgaria,7373.174,6741.501,6701.336,6796.465,6419.011,6471.126,6907.59,7011.809,7454.065,8170.451,8839.205,9534.418,10481.104,11652.461,12902.108,14290.896,15517.104,15159.644,15669.934,16694.86,17107.288,17627.491,18292.076,19288.961,20453.426,21686.637,23154.16
Burkina Faso,597.555,616.026,620.262,651.262,716.112,753.112,794.327,841.541,852.382,903.293,930.043,993.521,1035.736,1127.599,1198.114,1241.941,1299.216,1307.255,1392.193,1470.435,1547.65,1615.661,1666.587,1700.352,1792.771,1889.448,1993.505
Burundi,630.946,606.721,585.756,540.489,497.172,499.572,519.754,518.302,523.823,528.816,533.562,544.636,563.776,604.579,637.76,657.603,680.64,689.213,710.641,731.872,755.09,788.453,814.247,767.489,745.332,735.227,731.117
Cape Verde,1720.965,1845.904,1968.768,2106.462,2236.343,2396.967,2575.201,2869.229,3089.008,3290.941,3454.167,3724.09,3958.741,4277.685,4778.328,5338.038,5793.488,5750.71,5883.495,6205.67,6195.239,6268.401,6341.577,6395.884,6642.716,6944.018,7315.703
Cambodia,692.829,712.328,755.078,794.667,828.245,865.928,896.407,995.09,1083.196,1174.169,1246.959,1355.993,1512.216,1740.284,1957.849,2184.238,2343.176,2328.985,2459.636,2646.492,2840.4,3055.265,3280.681,3502.396,3740.758,4012.425,4321.825
Cameroon,1796.548,1729.078,1671.967,1715.212,1782.397,1857.253,1915.672,1968.872,2028.427,2106.302,2168.537,2249.799,2401.186,2459.65,2551.448,2672.904,2743.598,2748.262,2806.877,2910.356,3023.053,3158.912,3321.771,3461.028,3571.886,3660.255,3799.176
Canada,20667.921,21473.3,22671.587,23518.134,24080.63,25286.626,26327.289,27885.231,29723.392,30615.354,31676.323,32585.232,34192.793,36079.098,37780.987,39201.886,39944.06,38615.328,39844.443,41524.262,42537.307,43786.714,45344.522,45884.927,46605.654,48265.248,49775.185
Central African Republic,627.31,627.387,690.55,718.124,659.285,706.473,725.327,748.559,738.572,744.94,745.681,697.032,722.975,751.658,797.385,840.725,858.477,863.049,882.892,912.956,949.392,598.924,604.164,627.718,651.75,676.918,705.889
Chad,889.955,871.318,916.75,874.274,886.876,929.548,980.07,963.601,952.298,1061.026,1140.285,1218.9,1632.779,1780.857,1802.416,1864.306,1911.32,1956.622,2194.957,2188.243,2365.683,2480.187,2632.905,2642.486,2443.017,2343.552,2420.501
Chile,7120.199,7643.514,8060.355,8804.877,9450.15,10184.74,10602,10572.86,11241.984,11744.774,12218.033,12832.66,13990.048,15112.64,16390.016,17466.526,18243.092,17886.841,18950.671,20305.619,21547.476,22543.036,23106.963,23645.771,24005.118,24537.111,25667.735
China. People's Republic of,1260.744,1453.452,1660.169,1861.479,2061.521,2266.814,2447.669,2652.208,2918.206,3210.055,3533.069,3940.127,4431.278,5060.789,5847.815,6820.572,7583.36,8303.4,9251.837,10290.469,11252.083,12265.123,13327.138,14329.949,15397.394,16660.269,18066.49
Colombia,5272.774,5599.592,5906.395,6237.164,6377.735,6622.544,6629.498,6366.777,6602.969,6779.618,6968.138,7293.785,7797.333,8324.621,9046.044,9809.852,10234.955,10359.942,10775.807,11586.773,12135.873,12784.986,13432.037,13835.036,14137.971,14485.301,15055.432
Comoros,1145.089,1182.385,1119.977,1159.904,1140.94,1184.175,1185.569,1201.29,1220.045,1262.506,1307.237,1337.795,1339.152,1405.564,1430.967,1438.856,1443.843,1443.609,1453.431,1476.605,1507.624,1544.176,1560.418,1551.757,1563.247,1588.277,1629.177
Democratic Republic of the Congo,645.441,553.531,513.63,521.613,507.973,466.313,444.222,425.363,388.007,377.199,382.796,400.2,426.13,453.227,477.681,505.894,531.992,535.276,563.425,596.684,631.792,676.163,731.536,767.585,772.852,789.952,813.831
Congo,3927.112,3884.046,3657.386,3787.766,3924.268,3869.775,3958.995,3820.283,4100.697,4247.454,4400.255,4414.14,4578.74,4968.383,5307.704,5231.926,5494.452,5824.895,6253.493,6438.221,6641.832,6799.909,7215.221,7301.938,7010.616,6641.822,6675.92
Costa Rica,5774.436,6168.964,6392.405,6604.371,6627.004,6936.76,7319.062,7541.62,8066.65,8229.179,8482.426,8878.521,9368.31,9892.891,10772.844,11792.683,12401.081,12193.338,12769.048,13421.518,14138.748,14503.813,15029.687,15545.566,16258.094,16877.2,17669.45
Croatia,8086.387,7790.473,8611.754,9524.958,10174.426,10848.063,11346.141,11279.201,12441.822,13394.79,14313.982,15407.192,15983.574,17173.139,18556.176,20049.145,20871.538,19499.253,19505.504,20483.083,20449.529,20703.324,21144.075,22051.857,23226.531,24423.541,25806.884
Cyprus,17069.545,17170.654,18186.901,20206.347,20502.459,21066.971,22115.417,23274.753,24888.212,26105.303,27097.11,27996.698,29699.894,31355.804,33280.405,35155.469,36346.887,35044.078,34965.632,34922.676,33588.471,31961.848,32373.189,33805.558,35220.18,37022.96,38980.079
Czech Republic,Nan,Nan,Nan,13874.096,14783.479,14964.881,15092.193,15557.078,16608.529,17559.867,18178.876,19225.48,20717.931,22773.8,25021.692,27045.588,28071.632,26713.701,27558.853,28560.541,28802.61,29096.61,30433.738,32317.566,33529.161,35512.399,37546.476
